train_acc,train_loss,val_acc,val_loss
0.053157894736842105,4.1562614,0.08120000000000001,3.9318686
0.09587368421052633,3.8087726,0.1024,3.7542355
0.15185263157894735,3.5045898,0.1624,3.4436986
0.21397894736842105,3.1461613,0.21239999999999998,3.1802478
0.2760631578947369,2.7889476,0.2676,2.798095
0.33050526315789475,2.5236626,0.33799999999999997,2.4628494
0.37341052631578947,2.3362546,0.35440000000000005,2.447681
0.40431578947368424,2.19584,0.40639999999999993,2.178045
0.4316421052631579,2.0849955,0.424,2.0867074
0.4514947368421053,2.0028536,0.41119999999999995,2.1608074
0.4673473684210527,1.9339399,0.43160000000000004,2.0618982
0.4801263157894737,1.8848274,0.4576,1.9514421
0.48869473684210524,1.8380387,0.44839999999999997,1.9791493
0.499178947368421,1.7933625,0.4484,2.0092118
0.5091578947368421,1.7581431,0.4431999999999999,2.0461752
0.5173684210526316,1.7230359,0.4736,1.913482
0.5225052631578947,1.6985195,0.4548,1.9235584
0.5309052631578948,1.6734606,0.48840000000000006,1.8636727
0.5356842105263158,1.6509916,0.4752,1.9097261
0.5417894736842106,1.62264,0.4756,1.8841373
0.5467368421052633,1.6020408,0.4672,1.9200966
0.5509473684210526,1.5855218,0.4992000000000001,1.7528441
0.5567789473684212,1.5638958,0.5156000000000001,1.7229729
0.5629052631578947,1.5453988,0.5028,1.8361368
0.5640631578947367,1.5332671,0.514,1.7264279
0.5694526315789474,1.5153017,0.5112,1.7506279
0.5746947368421053,1.5024385,0.5176,1.6964676
0.5785684210526317,1.479953,0.5324,1.679531
0.5775578947368422,1.4804455,0.5432,1.6587646
0.5837894736842105,1.4597571,0.5104,1.8192205
0.5865894736842105,1.4417769,0.544,1.6082987
0.5903789473684209,1.4320707,0.5244,1.7647518
0.5929894736842104,1.4178816,0.5055999999999999,1.8222803
0.5973684210526315,1.4104983,0.5484,1.6073076
0.5997263157894737,1.3933703,0.5216,1.7208226
0.6034526315789474,1.3824047,0.5088,1.7514535
0.6063157894736843,1.3694139,0.5379999999999999,1.639689
0.6116631578947369,1.353648,0.542,1.62079
0.6153052631578947,1.3479913,0.5384,1.6796662
0.6151157894736841,1.3351939,0.5512,1.6112484
0.6210105263157893,1.319325,0.5539999999999999,1.585677
0.6226105263157895,1.3061157,0.5579999999999999,1.5559056
0.6265052631578948,1.2971525,0.5464000000000001,1.6174818
0.6250947368421053,1.2888877,0.5676000000000001,1.538966
0.6332631578947368,1.2691153,0.5784,1.5095458
0.6342947368421051,1.2594521,0.5508000000000001,1.6138402
0.637621052631579,1.2487035,0.5604,1.5926684
0.6417894736842106,1.2367344,0.556,1.545913
0.6442736842105262,1.2171538,0.5372,1.7166312
0.65,1.2044148,0.5644,1.5481709
0.6542947368421052,1.192462,0.5692,1.5522246
0.6537263157894736,1.1847751,0.5720000000000001,1.5052822
0.6568842105263157,1.1735601,0.5760000000000001,1.5187082
0.6657263157894737,1.1547403,0.5651999999999999,1.5828077
0.664421052631579,1.1464199,0.564,1.5645496
0.6692631578947368,1.1277801,0.5596,1.5744711
0.6704842105263158,1.1206483,0.5876,1.4677962
0.6742736842105262,1.1061424,0.5752,1.5292602
0.6800842105263157,1.086899,0.5956,1.4464107
0.6836,1.0797032,0.578,1.5042987
0.6874105263157895,1.0617138,0.6008,1.4218961
0.6906315789473684,1.0474932,0.6012,1.4336154
0.6937052631578947,1.0374299,0.5928,1.4695692
0.6989052631578948,1.0216037,0.5963999999999999,1.4580415
0.7031368421052632,1.0049111,0.6012,1.4359043
0.7005473684210526,1.0011133,0.6124,1.3915715
0.7085894736842107,0.98329276,0.6064,1.4365925
0.7132421052631578,0.9735124,0.5968,1.4832208
0.7168631578947369,0.95670646,0.6048,1.4237157
0.7168210526315789,0.94629544,0.6040000000000001,1.4060074
0.7208,0.93632376,0.6136,1.3719509
0.7255999999999999,0.92414474,0.6155999999999999,1.3911018
0.7316421052631579,0.9026049,0.6164000000000001,1.3611523
0.7350105263157894,0.88995826,0.616,1.4001877
0.7404631578947369,0.876054,0.6103999999999999,1.3826118
0.7408631578947368,0.86666536,0.6195999999999999,1.3737675
0.7422315789473685,0.85859156,0.6176,1.4108242
0.7453684210526316,0.8470978,0.614,1.3771644
0.7503157894736842,0.83550054,0.6212000000000001,1.4001608
0.7547157894736842,0.82079643,0.632,1.3425189
0.7588421052631579,0.8124035,0.6244000000000001,1.3824936
0.761578947368421,0.80210984,0.6232,1.3651348
0.7619368421052632,0.7926451,0.6192,1.3907279
0.7670526315789474,0.7783673,0.6216,1.3567234
0.7715368421052632,0.77203727,0.6296,1.3732095
0.7724842105263158,0.7645021,0.6236,1.3615806
0.774421052631579,0.7558404,0.6256,1.3395829
0.7779368421052631,0.74551046,0.6264,1.3426735
0.7774947368421052,0.7430138,0.6368,1.3385205
0.7802105263157892,0.73799205,0.6288,1.3431178
0.782042105263158,0.7348723,0.6352,1.3360935
0.7844421052631579,0.72389233,0.6352,1.3407592
0.7832,0.7251667,0.6339999999999999,1.3417417
0.7841684210526316,0.7221812,0.628,1.3444884
0.7883789473684211,0.71432567,0.6256,1.3383415
0.788821052631579,0.7115954,0.6272,1.3441002
0.7874736842105263,0.71062446,0.6252,1.339799
0.7920631578947369,0.7005697,0.6292,1.3501854
0.7913473684210526,0.7036852,0.6272,1.3420043
0.7905263157894736,0.7030475,0.6292,1.3565054
